"event","host_city","host_country","year","round","participant_name","song","participant_country","running_order","total_points","rank","qualified","winner","event_link"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Željko Joksimović","Nije Ljubav Stvar","Serbia",1,159,"2nd",TRUE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Kaliopi","Crno I Belo","North Macedonia",2,53,"9th",TRUE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Joan Franka","You And Me","Netherlands",3,35,"15th",FALSE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Kurt Calleja","This Is The Night","Malta",4,70,"7th",TRUE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Litesound","We Are The Heroes","Belarus",5,35,"16th",FALSE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Filipa Sousa","Vida Minha","Portugal",6,39,"13th",FALSE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Gaitana","Be My Guest","Ukraine",7,64,"8th",TRUE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Sofi Marinova","Love Unlimited","Bulgaria",8,45,"11th",FALSE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Eva Boto","Verjamem","Slovenia",9,31,"17th",FALSE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Nina Badrić","Nebo","Croatia",10,42,"12th",FALSE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Loreen","Euphoria","Sweden",11,181,"1st",TRUE,TRUE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Anri Jokhadze","I'm A Joker","Georgia",12,36,"14th",FALSE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Can Bonomo","Love Me Back","Türkiye",13,80,"5th",TRUE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Ott Lepland","Kuula","Estonia",14,100,"4th",TRUE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Max Jason Mai","Don't Close Your Eyes","Slovakia",15,22,"18th",FALSE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Tooji","Stay","Norway",16,45,"10th",TRUE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Maya Sar","Korake Ti Znam","Bosnia & Herzegovina",17,77,"6th",TRUE,FALSE,"https://eurovision.tv/event/baku-2012"
"baku 2012","Baku","Azerbaijan",2012,"second semi final","Donny Montell","Love Is Blind","Lithuania",18,104,"3rd",TRUE,FALSE,"https://eurovision.tv/event/baku-2012"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Dino Merlin","Love In Rewind","Bosnia & Herzegovina",1,109,"5th",TRUE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Nadine Beiler","The Secret Is Love","Austria",2,69,"7th",TRUE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","3JS","Never Alone","Netherlands",3,13,"19th",FALSE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Witloof Bay","With Love Baby","Belgium",4,53,"11th",FALSE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","TWiiNS","I'm Still Alive","Slovakia",5,48,"13th",FALSE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Mika Newton","Angel","Ukraine",6,81,"6th",TRUE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Zdob și Zdub","So Lucky","Moldova",7,54,"10th",TRUE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Eric Saade","Popular","Sweden",8,155,"1st",TRUE,TRUE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Christos Mylordos","San Aggelos S’Agapisa","Cyprus",9,16,"18th",FALSE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Poli Genova","Na Inat","Bulgaria",10,48,"12th",FALSE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Vlatko Ilievski","Rusinka","North Macedonia",11,36,"16th",FALSE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Dana International","Ding Dong","Israel",12,38,"15th",FALSE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Maja Keuc","No One","Slovenia",13,112,"3rd",TRUE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Hotel FM","Change","Romania",14,111,"4th",TRUE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Getter Jaani","Rockefeller Street","Estonia",15,60,"9th",TRUE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Anastasiya Vinnikova","I Love Belarus","Belarus",16,45,"14th",FALSE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Musiqq","Angel In Disguise","Latvia",17,25,"17th",FALSE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","A Friend In London","New Tomorrow","Denmark",18,135,"2nd",TRUE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"dusseldorf 2011","Düsseldorf","Germany",2011,"second semi final","Jedward","Lipstick","Ireland",19,68,"8th",TRUE,FALSE,"https://eurovision.tv/event/dusseldorf-2011"
"oslo 2010","Oslo","Norway",2010,"second semi final","InCulto","Eastern European Funk","Lithuania",1,44,"12th",FALSE,FALSE,"https://eurovision.tv/event/oslo-2010"
"oslo 2010","Oslo","Norway",2010,"second semi final","Eva Rivas","Apricot Stone","Armenia",2,83,"6th",TRUE,FALSE,"https://eurovision.tv/event/oslo-2010"
"oslo 2010","Oslo","Norway",2010,"second semi final","Harel Skaat","Milim","Israel",3,71,"8th",TRUE,FALSE,"https://eurovision.tv/event/oslo-2010"
"oslo 2010","Oslo","Norway",2010,"second semi final","Chanée & N'evergreen","In A Moment Like This","Denmark",4,101,"5th",TRUE,FALSE,"https://eurovision.tv/event/oslo-2010"
"oslo 2010","Oslo","Norway",2010,"second semi final","Michael von der Heide","Il Pleut de L'Or","Switzerland",5,2,"17th",FALSE,FALSE,"https://eurovision.tv/event/oslo-2010"
"oslo 2010","Oslo","Norway",2010,"second semi final","Anna Bergendahl","This Is My Life","Sweden",6,62,"11th",FALSE,FALSE,"https://eurovision.tv/event/oslo-2010"
"oslo 2010","Oslo","Norway",2010,"second semi final","Safura","Drip Drop","Azerbaijan",7,113,"2nd",TRUE,FALSE,"https://eurovision.tv/event/oslo-2010"
"oslo 2010","Oslo","Norway",2010,"second semi final","Alyosha","Sweet People","Ukraine",8,77,"7th",TRUE,FALSE,"https://eurovision.tv/event/oslo-2010"
"oslo 2010","Oslo","Norway",2010,"second semi final","Sieneke","Ik Ben Verliefd (Sha-la-lie)","Netherlands",9,29,"14th",FALSE,FALSE,"https://eurovision.tv/event/oslo-2010"
"oslo 2010","Oslo","Norway",2010,"second semi final","Paula Seling & Ovi","Playing With Fire","Romania",10,104,"4th",TRUE,FALSE,"https://eurovision.tv/event/oslo-2010"
